Method,Enzyme_Activity_tot,Enzyme_Activity_avg,Enzyme_Activity_avg_norm,S_estimate,R_squared,Method_Group,Day,Group,Name,Id
pH7.5,0.0981236,0.032707867,0.042336342,0.239597487,0.999921881,1,Tue,5,635d94be,2100012287
Electric homogenizer,0.109543882,0.036514627,0.037734612,0.206228447,0.999915936,0,Fri,6,3d0668c5,2100012168
Glass homogenizer,0.108035267,0.036011756,0.037214939,0.179288218,0.999546885,0,Fri,6,3d0668c5,2100012168
Bead mill homogenizer,0.088902967,0.029634322,0.030624431,0.193491151,0.999955856,0,Fri,6,3d0668c5,2100012168
pH6.0,0.077623401,0.025874467,0.026738955,0.171578891,0.999600069,1,Fri,6,3d0668c5,2100012168
pH6.5,0.109543882,0.036514627,0.037734612,0.206228447,0.999915936,1,Fri,6,3d0668c5,2100012168
pH7.0,0.140849116,0.046949705,0.048518335,0.265362155,0.99975459,1,Fri,6,3d0668c5,2100012168
pH7.5,0.145934355,0.048644785,0.050270049,0.274417808,0.99965215,1,Fri,6,3d0668c5,2100012168
Electric homogenizer,0.128709903,0.042903301,0.038953656,0.216356184,0.999767868,0,Mon,5,ddb4b5c5,2100017749
Glass homogenizer,0.123075967,0.041025322,0.037248563,0.210186076,0.99956878,0,Mon,5,ddb4b5c5,2100017749
Bead mill homogenizer,0.110262047,0.036754016,0.033370469,0.192740997,0.999726667,0,Mon,5,ddb4b5c5,2100017749
pH6.0,0.084036009,0.028012003,0.025433239,0.157660668,0.999595475,1,Mon,5,ddb4b5c5,2100017749
pH6.5,0.110262047,0.036754016,0.033370469,0.192740997,0.999726667,1,Mon,5,ddb4b5c5,2100017749
pH7.0,0.139163215,0.046387738,0.042117319,0.24663216,0.999700339,1,Mon,5,ddb4b5c5,2100017749
pH7.5,0.131003989,0.043667996,0.039647954,0.242115575,0.999759468,1,Mon,5,ddb4b5c5,2100017749
Electric homogenizer,0.100707254,0.033569085,0.035263301,0.271621587,0.999446258,0,Fri,2,6546b72b,2100012278
Glass homogenizer,0.129961149,0.043320383,0.045506743,0.29430041,0.999301468,0,Fri,2,6546b72b,2100012278
Bead mill homogenizer,0.12715621,0.042385403,0.044524576,0.25286041,0.999824894,0,Fri,2,6546b72b,2100012278
pH6.0,0.070253487,0.023417829,0.024599716,0.15693352,0.999931666,1,Fri,2,6546b72b,2100012278
pH6.5,0.100707254,0.033569085,0.035263301,0.271621587,0.999446258,1,Fri,2,6546b72b,2100012278
pH7.0,0.144743513,0.048247838,0.050682884,0.292806674,0.999879123,1,Fri,2,6546b72b,2100012278
pH7.5,0.128124169,0.042708056,0.044863513,0.248959298,0.999880446,1,Fri,2,6546b72b,2100012278
Glass homogenizer,0.09082601,0.030275337,0.039187729,0.210738723,0.999920653,0,Tue,5,a3a5b9b4,2100012275
Electric homogenizer,0.112920969,0.037640323,0.039617269,0.222862313,0.999912992,0,Tue,1,e2a9b13d,2100012125
Glass homogenizer,0.106892215,0.035630738,0.037502136,0.234344493,0.999934286,0,Tue,1,e2a9b13d,2100012125
Bead mill homogenizer,0.126007484,0.042002495,0.04420855,0.245389362,0.999869778,0,Tue,1,e2a9b13d,2100012125
pH6.0,0.08256317,0.027521057,0.028966518,0.143926079,0.99623298,1,Tue,1,e2a9b13d,2100012125
pH6.5,0.112920969,0.037640323,0.039617269,0.222862313,0.999912992,1,Tue,1,e2a9b13d,2100012125
pH7.0,0.132494168,0.044164723,0.046484343,0.267180976,0.999911201,1,Tue,1,e2a9b13d,2100012125
pH7.5,0.121955279,0.04065176,0.042786872,0.244719843,0.999376646,1,Tue,1,e2a9b13d,2100012125
Electric homogenizer,0.127482006,0.042494002,0.039999117,0.227006095,0.999956979,0,Mon,1,b26f2022,2100012104
Glass homogenizer,0.120441907,0.040147302,0.037790195,0.33347368,0.99959607,0,Mon,1,b26f2022,2100012104
Bead mill homogenizer,0.117947149,0.039315716,0.037007433,0.242163042,0.999897057,0,Mon,1,b26f2022,2100012104
pH6.0,0.09681609,0.03227203,0.030377292,0.170905714,0.999943221,1,Mon,1,b26f2022,2100012104
pH6.5,0.127482006,0.042494002,0.039999117,0.227006095,0.999956979,1,Mon,1,b26f2022,2100012104
pH7.0,0.131835168,0.043945056,0.041364977,0.291420938,0.999777141,1,Mon,1,b26f2022,2100012104
pH7.5,0.120441907,0.040147302,0.037790195,0.33347368,0.99959607,1,Mon,1,b26f2022,2100012104
pH6.5,0.111096709,0.037032236,0.035961949,0.206713092,0.999881122,1,Tue,3,a4d855b0,2100012122
pH7.0,0.121608269,0.04053609,0.039364536,0.228019141,0.999783119,1,Tue,3,a4d855b0,2100012122
Electric homogenizer,0.100487856,0.033495952,0.035186478,0.324558069,0.998501621,0,Fri,2,cbc68fdc,2100012290
Glass homogenizer,0.140051711,0.046683904,0.049040019,0.323855068,0.998243426,0,Fri,2,cbc68fdc,2100012290
Bead mill homogenizer,0.077523449,0.02584115,0.027145341,0.322045877,0.998433723,0,Fri,2,cbc68fdc,2100012290
pH6.0,0.071054817,0.023684939,0.024880307,0.184009182,0.999696559,1,Fri,2,cbc68fdc,2100012290
pH6.5,0.100487856,0.033495952,0.035186478,0.324558069,0.998501621,1,Fri,2,cbc68fdc,2100012290
pH7.0,0.102298883,0.034099628,0.035820621,0.324338807,0.99923329,1,Fri,2,cbc68fdc,2100012290
pH7.5,0.134746908,0.044915636,0.047182508,0.364892026,0.999246743,1,Fri,2,cbc68fdc,2100012290
Electric homogenizer,0.123319771,0.04110659,0.037983826,0.247126326,0.999332596,0,Mon,4,4330aae2,2100012118
pH6.5,0.123319771,0.04110659,0.037983826,0.247126326,0.999332596,1,Mon,4,4330aae2,2100012118
pH7.0,0.127350706,0.042450235,0.039225398,0.283215616,0.999931844,1,Mon,4,4330aae2,2100012118
Electric homogenizer,0.137226984,0.045742328,0.036653137,0.376045948,0.998994768,0,Mon,3,a9daf023,2100012134
Glass homogenizer,0.129663231,0.043221077,0.034632869,0.54135316,0.996737939,0,Mon,3,a9daf023,2100012134
Bead mill homogenizer,0.137701057,0.045900352,0.036779761,0.309416423,0.999412347,0,Mon,3,a9daf023,2100012134
pH6.0,0.093845472,0.031281824,0.025065995,0.261766116,0.99934138,1,Mon,3,a9daf023,2100012134
pH6.5,0.129663231,0.043221077,0.034632869,0.54135316,0.996737939,1,Mon,3,a9daf023,2100012134
pH7.0,0.168060992,0.056020331,0.044888857,0.379085493,0.999724299,1,Mon,3,a9daf023,2100012134
pH7.5,0.156719357,0.052239786,0.041859522,0.541622685,0.999569032,1,Mon,3,a9daf023,2100012134
Glass homogenizer,0.096674914,0.032224971,0.034128875,0.237463714,0.999923562,0,Fri,1,bb792251,2100012266
Electric homogenizer,0.129080612,0.043026871,0.04382238,0.216458977,0.999890918,0,Fri,3,ef0cb942,2100012136
Glass homogenizer,0.119984797,0.039994932,0.040734386,0.209113649,0.999722726,0,Fri,3,ef0cb942,2100012136
Bead mill homogenizer,0.113852337,0.037950779,0.038652439,0.20894838,0.999836895,0,Fri,3,ef0cb942,2100012136
pH6.0,0.090981116,0.030327039,0.030887745,0.166224949,0.999432143,1,Fri,3,ef0cb942,2100012136
pH6.5,0.113852337,0.037950779,0.038652439,0.20894838,0.999836895,1,Fri,3,ef0cb942,2100012136
pH7.0,0.1489157,0.049638567,0.050556318,0.269279163,0.999552518,1,Fri,3,ef0cb942,2100012136
pH7.5,0.134680262,0.044893421,0.04572344,0.259977447,0.999743099,1,Fri,3,ef0cb942,2100012136
Electric homogenizer,0.09116448,0.03038816,0.028079648,0.208088128,0.999961321,0,Mon,4,775b563c,1800091104
Glass homogenizer,0.10203529,0.034011763,0.031427975,0.198635399,0.999959388,0,Mon,4,775b563c,1800091104
Bead mill homogenizer,0.117525706,0.039175235,0.036199191,0.248748111,0.99973296,0,Mon,4,775b563c,1800091104
pH6.0,0.108748861,0.03624962,0.033495828,0.196044646,0.999857424,1,Mon,4,775b563c,1800091104
pH6.5,0.117525706,0.039175235,0.036199191,0.248748111,0.99973296,1,Mon,4,775b563c,1800091104
pH7.0,0.152033308,0.050677769,0.046827907,0.282206294,0.999753375,1,Mon,4,775b563c,1800091104
pH7.5,0.150060025,0.050020008,0.046220114,0.272013729,0.99987595,1,Mon,4,775b563c,1800091104
Electric homogenizer,0.100598406,0.033532802,0.03455994,0.176675223,0.999699025,0,Tue,6,85d81665,2100012177
Glass homogenizer,0.100359855,0.033453285,0.034477988,0.190808872,0.999784212,0,Tue,6,85d81665,2100012177
Bead mill homogenizer,0.116405529,0.038801843,0.039990377,0.19074302,0.999557013,0,Tue,6,85d81665,2100012177
pH6.0,0.069627397,0.023209132,0.023920048,0.131457493,0.999650744,1,Tue,6,85d81665,2100012177
pH6.5,0.116405529,0.038801843,0.039990377,0.19074302,0.999557013,1,Tue,6,85d81665,2100012177
pH7.0,0.132681831,0.044227277,0.045581997,0.230102684,0.999668424,1,Tue,6,85d81665,2100012177
pH7.5,0.127379964,0.042459988,0.043760574,0.215544467,0.999756224,1,Tue,6,85d81665,2100012177
Electric homogenizer,0.123402846,0.041134282,0.0386045,0.19947048,0.999705569,0,Fri,5,4412c2aa,2100012264
Glass homogenizer,0.120585134,0.040195045,0.037723026,0.197100495,0.999530231,0,Fri,5,4412c2aa,2100012264
Bead mill homogenizer,0.099943914,0.033314638,0.031265768,0.182779651,0.999781263,0,Fri,5,4412c2aa,2100012264
pH6.0,0.082588159,0.027529386,0.025836313,0.135857721,0.999191014,1,Fri,5,4412c2aa,2100012264
pH6.5,0.123402846,0.041134282,0.0386045,0.19947048,0.999705569,1,Fri,5,4412c2aa,2100012264
pH7.0,0.132862564,0.044287521,0.041563813,0.231395577,0.999926654,1,Fri,5,4412c2aa,2100012264
pH7.5,0.142672359,0.047557453,0.044632642,0.25543019,0.999717356,1,Fri,5,4412c2aa,2100012264
Electric homogenizer,0.100604831,0.033534944,0.032005587,0.283632891,0.999242618,0,Fri,4,292dcb07,2100012261
Glass homogenizer,0.129961149,0.043320383,0.041344763,0.29430041,0.999301468,0,Fri,4,292dcb07,2100012261
Bead mill homogenizer,0.12715621,0.042385403,0.040452422,0.25286041,0.999824894,0,Fri,4,292dcb07,2100012261
pH6.0,0.070253487,0.023417829,0.022349862,0.15693352,0.999931666,1,Fri,4,292dcb07,2100012261
pH6.5,0.129961149,0.043320383,0.041344763,0.29430041,0.999301468,1,Fri,4,292dcb07,2100012261
pH7.0,0.144743513,0.048247838,0.046047501,0.292806674,0.999879123,1,Fri,4,292dcb07,2100012261
pH7.5,0.128124169,0.042708056,0.040760361,0.248959298,0.999880446,1,Fri,4,292dcb07,2100012261
Electric homogenizer,0.108035267,0.036011756,0.037214939,0.179288218,0.999546885,0,Fri,6,1cb374db,2100012178
Glass homogenizer,0.109543882,0.036514627,0.037734612,0.206228447,0.999915936,0,Fri,6,1cb374db,2100012178
Electric homogenizer,0.139264916,0.046421639,0.043566681,0.240988689,0.999868014,0,Fri,5,99efdcb3,2100012103
Glass homogenizer,0.118338784,0.039446261,0.037020293,0.225763593,0.999842242,0,Fri,5,99efdcb3,2100012103
Bead mill homogenizer,0.132019093,0.044006364,0.041299947,0.216861548,0.999626453,0,Fri,5,99efdcb3,2100012103
pH6.0,0.106279824,0.035426608,0.033247851,0.16317787,0.998806003,1,Fri,5,99efdcb3,2100012103
pH6.5,0.139264916,0.046421639,0.043566681,0.240988689,0.999868014,1,Fri,5,99efdcb3,2100012103
pH7.0,0.180872947,0.060290982,0.056583051,0.336787219,0.999857301,1,Fri,5,99efdcb3,2100012103
pH7.5,0.162029626,0.054009875,0.050688236,0.295538263,0.999899905,1,Fri,5,99efdcb3,2100012103
Electric homogenizer,0.11589122,0.038630407,0.036362359,0.254749981,0.999809106,0,Mon,1,f29fcb61,2000012618
