NewsID	Content
93780	"The article that follows was taken from the Wednesday, April 14,
1993 issue of USA Today (""Drug Use Up At Younger Age"" by Mike
Snider, p. 1A).

    Drug use is on the rise among kids as young as eighth graders -
    usually 13 - and they're using more LSD and inhalants like glue
    and air fresheners, says a new survey.

    The annual National High School Senior Survey on Drug Abuse finds
    ""statistically significant increases"" in eighth-graders' use of
    many drugs, including marijuana, cocaine, crack, LSD and inhalants.

    ""We may be in danger of losing some ... hard-won ground (in reducing
    drug use) as a new, more naive generation of youngsters enters
    adolescence,"" says Lloyd Johnston, University of Michigan, chief
    researcher on the study sponsored by the Department of Health and
    Human Services.

    But drug use among high school seniors is continuing a decade-long
    decline.

    The study of 50,000 students shows the percentage who tried the
    following in the 30 days before they were polled:

        * 8th-graders  - alcohol 26%; cigarettes 16%; marijuana 4%;
                         cocaine 0.7%.

        * 10th-graders - alcohol 40%; cigarettes 22%; marijuana 8%;
                         cocaine 0.7%.

        * 12th-graders - alcohol 51%; cigarettes 28%; marijuana 12%;
                         cocaine 1.3%.

    Among 12th-graders, use of marijuana, cocaine and inhalants
    declined over the year before.  Not so with LSD.

    * 2% of eighth-graders have tried LSD in the last year, up 24%
    over 1991. 

    * Use of LSD among seniors is at its highest point since 1982; 6%
    tried it in the last year.

    Reducing drug use among students ""requires a different kind of
    strategy"" that Health Secretary Donna Shalala says will be part
    of an overall illness prevention plan.

    The survey shows drugs are easier to get and fewer eighth-graders
    disapprove of them.

    ""It's scary,"" Shalala says.  ""Dealers are focusing on younger, more
    vulnerable kids.""


Scott Kennedy,  Brewer and Patriot"
68044	"Does anyone out there know of a site that might have
a 2-D spline fit routine useful for interpolation?

thanks for any help,
Craig Morioka"
99809	":    I hate to admit this, and I'm still mentally kicking myself for it.
: I rode the brand new K75RT home last Friday night.  100 miles in rain
: and darkness.  No problems.  Got it home and put it on the center stand.
:    The next day I pushed it off the center stand in preparation for going
: over to a friend's house to pose.  You guessed it.  It got away from me
: and landed on its right side.  
:    Scratched the lower fairing, cracked the right mirror, and cracked the
: upper fairing.  
:    *DAMN* am I stupid!  It's going to cost me ~$200 to get the local
: body shop to fix it.  And that is after I take the fairing off for them.
: Still, that's probably cheaper than the mirror alone if I bought a 
: replacement from BMW.

You got off cheap.  My sister's ex-boyfriend was such an incessant pain
in the ass about wanting to ride my bikes (no way, Jose) that I
finally took him to Lindner's BMW in New Canaan, CT last fall where
I had seen a nice, used K100RS in perfect condition.  After telling
everyone in the shop his Norton war stories from fifteen years ago,
signing the liability waiver, and getting his pre-flight, off he went...

Well, not quite.  I walked out of a pizza shop up the street,
feeling good about myself (made my sister's boyfriend happy and got
the persistent wanker off my ass for good), heard the horrendous
racket of an engine tortured to its red line and then a crash.  I
saw people running towards the obvious source of the disturbance...
Jeff laying under the BMW with the rear wheel spinning wildly and
someone groping for the kill switch.  I stared in disbelief with
a slice hanging out of my mouth as Matty, the shop manager, slid
up beside me and asked, ""Friend of yours, Steve?"".  ""Shit, Matty,
it could have been worse.  That could been my FLHS!""

Jeff hadn't made it 10 inches.  Witnesses said he lifted his feet
before letting out the clutch and gravity got the best of him.
Jeff claimed that the clutch didn't engage.  Matty was quick.
While Jeff was still stuttering in embarrassed shock he managed
to snatch Jeff's credit card for a quick imprint and signature.  Twenty
minutes later, when Jeff's color had paled to a flush, Matty
presented him with an estimate of $580 for a busted right mirror
and a hairline crack in the fairing.  That was for fixing the crack
and masking the damaged area, not a new fairing.  Or he could buy the
bike.

I'm not sure what happened later as my sister split up with Jeff shortly
afterwards (to hook up with another piece of work) except that Matty
told me he ran the charge through in December and that it went
uncontested.

"
26283	"
Yup, that was quite contemptuous of the President to make a decision that
12% disagree with..."
35087	"

Also would maybe get the Russians Involved. After all they do have the resources
to do it in part.. But they need the capital and the goal..

I wonder if renting the russians resources would be a disqualification?
"
56940	
23640	"Can somebody point out to me where I can find the specs for .GL and .FLI files
found on PC's?
"
86729	"



Just out of curiousity, how old is Worden?
--
_______________________________________________________________________________"
28186	"Has someone scanned in an artist's rendering of Aurora?  If so, is the GIF
available somewhere?

Please reply via email.

Thanks,


Craig"
99824	"
True enough. I put it on the ground if it's free of spooge, or directly
on my head otherwise.


Not exactly. The helmet has a lot less energy if your head isn't in it, and
there's no lump inside to compress the liner against the shell. Is a drop
off the seat enough to crack the shell? I doubt it, but you can always
send it to be inspected."
73590	"
   Why is this surprising? Then the _Times_ can get a few more
Pulitzers the same way they did last year.
-- "
12701	": There is a new version of the RTrace ray-tracing package (8.2.0) at
: asterix.inescn.pt [192.35.246.17] in directory pub/RTrace.
: Check the README file.

cant seem to reach the site from over here:
"
21717	"
I have a little answer:

See Foley, van Dam, Feiner, and Hughes, _Computer Graphics: Principles
and Practice, Second Edition_.

[If people would *read* this book, 75 percent of the questions in this
froup would disappear overnight...]

							spl"
33402	"We need a good concave ->convex polygon conversion routine.
I've tried a couple without much luck.  Please E-mail responses and I
will post a summary of any replies.  Thank you."
16621	"





	Good point -- it is very true that these ""false"" predictions are
dangerous--we are warned (more than once) in scripture about false prophtets.

	However, as is often the case with other issues, one cannot let those
who falsly report such ""visions"" as a reason against believing in any of them
(I did not get the impression you were asserting this, by the way...I consider
my response not so much a response to your posting but a response to the topic
as a whole).

	Example:  The Appearances of Mary at Fatima, Portugal in 1917.

	Among other things, she predicted the conversion of Russia to Atheism
	(something that happened less than a year later w/ the Bolshevik
	revolution).  She also predicted the second world war (that is, predicte	predicted that it would occur during the papacy of a certain pope, who
	was not the current one.  It happened just like she said.)

	She warned there would be ""fire in the sky"" as a warning that the 
	second world war was about to start.  About a week before Germany
	invaded, weathermen (and women, I suppose) all over Europe, from
	England to Spain to Eastern Europe, reported the most spectacular
	reddish color in the sky ever recorded.  To this day some try to 
	explain it off as the northern lights, and the relation to Mary's
	prediction simply coincidence.  You all can decide for yourselves.

	Mary predicted that the Atheistic Russia would spread her evils all
	over the world and persecute religion.  

	She said many other things as well, too numerous to list here.  Every
	single one has been realized.  	One can only use the term ""coincidence""
	so many times in the same explanation before its use becomes 
	ridiculous.  

	SO...yes, there are many false prophets and many false reports. There
	are true ones, too.  We must always remain open to that.  Fatima was
	one example.  There is another one, currently occuring--the 
	apparitions that have been taking place at Medjurgorje, Yugoslavia
	(or whatever its called now).  Mary has been appearing every day for
	eleven years now.  It's time the world started listening."
17424	"
My god, how many chances do they get?  Operation Move (Philedelphia, early  
80's), Black Panthers (Chicago, 1969), etc., etc.  Hell, we get heavily armed
millenial cults out west every couple of years.  Do with have to start a  
cascade of times the feds have been in situations like this?
"
31111	"   In article <1993Apr4.105514.11664@colorado.edu> ajteel@dendrite.cs.Colorado.EDU (A.J. Teel) writes...
   >	No, the definition of ""resident"" is very specific. It is the
   >same thing as ""alien"". Look it up. Remember that the common usage of
   >the words ARE NOT always their legal meaning.

   This I gotta see some authority for.

from Black's Law Dictionary, Revised 4th Ed., page 1473:

RESIDENCE.  A factual place of abode.  Living in a particular
locality.  Reese v. Reese, 179 Misc. 665, 40 N.Y.S.2d 468, 472;
Zimmerman, 175 Or. 585, 155 P.2d 293, 295.  It requires only bodily
presence as an inhabitant of a place.  In re Campbell's Guardianship,
216 Minn. 113, 11 N.W.2d 786, 789.

     As ``domicile'' and ``residence'' are usually in the same place,
they are frequently used as if they had the same meaning, but they are
not identical terms, for a person may have two places of residence, as
in the city and country, but only one domicile.  Residence means
living in a particular locality, but domicile means living in that
locality with intent to make it a fixed and permanent home.  Residence
simply requires bodily presence as an inhabitant in a given place,
while domicile requires bodily presence in that place and also an
intention to make it one's domicile.  In re Riley's Will, 266 N.Y.S.
209, 148 Misc. 588.  ``Residence'' demands less intimate local ties
than ``domicile,'' but ``domicile'' allows absence for indefinite
period if intent to return remains.  Immigration Act 1917, sec. 3, 8
U.S.C.A. sec. 136 (e, p).  Transatlantica Italiana v. Elting,
C.C.A.N.Y., 74 F.2d 732, 733.  But see, Ward v. Ward, 115, W.Va 429,
176 S.E. 708, 709; Southwestern Greyhound Lines v. Craig, 182 Okl.
610, 80 P 2d 221, 224; holding that residence and domicile are
synonymous terms.  ``Residence'' has a meaning dependent on context
and purpose of statute.  In re Jones, 341 Pa. 329, 19 A.2d 280, 282.
Words ``residence'' and ``domicile'' may have an identical or variable
meaning depending on subject-matter and context of statute.  Kemp v.
Kemp, 16 N.Y.S.2d 26, 34, 172 Misc. 738.

     Legal residence.  See Legal.

RESIDENT.  One who has his residence in a place.  See Residence.

     Also a tenant, who was obliged to reside on his lord's land, and
not to depart from the same; called, also, ``homme levant et
couchant,'' and in Normandy, ``resseant du fief.''
"
28366	"
	When you find some new ones, I suggest donating the ones
	you have now to the Lautrec family in France... <grin>

				Michael
"
56458	": Having met Peter Kingston (of WBT) some years back, he struck me 
: as an exemplery and dedicated Christian whose main concern was with
: translation of the Word of God and the welfare of the people
: group he was serving.
: WBT literature is concerned mainly with providing Scripture
: in minority languages.

Yes, in fact Peter is now at Wycliffe HQ in the U.K., and is a member of my
church. I would fully endorse the above -- Peter is a very Godly man, with a
passion for serving Christ.

On one occasion he specifically addressed the issue of ``cultural
interference'' in a sermon, presumably from his experience of allegations
directed at Wycliffe. (Perhaps I could find the tape...?)"
27732	"
(not that logic has anything to do with it, but...)
I can see the liability of putting stickers on the car while it was moving,
or something, but it's the BDI that chooses to start and then drive the car
in a known unsafe condition that would (seem to be) liable. Furthermore, they
would have had the last chance to avoid an unsafe situation, which is an
additional factor in attributing ""blame"".

Anyway, stickers on the window are less effective... no one has any problem
taking a blade to a window to remove a stubborn sticker, but it's a different
story with that that nice paint job on the door....

	*jeff*"
10039	"
Or just use the URT tool: rastorle.


Yes, both it and the newer xli can."
30791	"Archive-name: space/schedule
Last-modified: $Date: 93/04/01 14:39:23 $

SPACE SHUTTLE ANSWERS, LAUNCH SCHEDULES, TV COVERAGE

    SHUTTLE LAUNCHINGS AND LANDINGS; SCHEDULES AND HOW TO SEE THEM

    Shuttle operations are discussed in the Usenet group sci.space.shuttle,
    and Ken Hollis (gandalf@pro-electric.cts.com) posts a compressed version
    of the shuttle manifest (launch dates and other information)
    periodically there. The manifest is also available from the Ames SPACE
    archive in SPACE/FAQ/manifest. The portion of his manifest formerly
    included in this FAQ has been removed; please refer to his posting or
    the archived copy. For the most up to date information on upcoming
    missions, call (407) 867-INFO (867-4636) at Kennedy Space Center.

    Official NASA shuttle status reports are posted to sci.space.news
    frequently.


    WHY DOES THE SHUTTLE ROLL JUST AFTER LIFTOFF?

    The following answer and translation are provided by Ken Jenks
    (kjenks@gothamcity.jsc.nasa.gov).

    The ""Ascent Guidance and Flight Control Training Manual,"" ASC G&C 2102,

	""During the vertical rise phase, the launch pad attitude is
	commanded until an I-loaded V(rel) sufficient to assure launch tower
	clearance is achieved. Then, the tilt maneuver (roll program)
	orients the vehicle to a heads down attitude required to generate a
	negative q-alpha, which in turn alleviates structural loading. Other
	advantages with this attitude are performance gain, decreased abort
	maneuver complexity, improved S-band look angles, and crew view of
	the horizon. The tilt maneuver is also required to start gaining
	downrange velocity to achieve the main engine cutoff (MECO) target
	in second stage.""

    This really is a good answer, but it's couched in NASA jargon. I'll try
    to interpret.

    1)	We wait until the Shuttle clears the tower before rolling.

    2)	Then, we roll the Shuttle around so that the angle of attack
	between the wind caused by passage through the atmosphere (the
	""relative wind"") and the chord of the wings (the imaginary line
	between the leading edge and the trailing edge) is a slightly
	negative angle (""a negative q-alpha"").	This causes a little bit of
	""downward"" force (toward the belly of the Orbiter, or the +Z
	direction) and this force ""alleviates structural loading.""
	We have to be careful about those wings -- they're about the
	most ""delicate"" part of the vehicle.

    3)	The new attitude (after the roll) also allows us to carry more
	mass to orbit, or to achieve a higher orbit with the same mass, or
	to change the orbit to a higher or lower inclination than would be
	the case if we didn't roll (""performance gain"").

    4)	The new attitude allows the crew to fly a less complicated
	flight path if they had to execute one of the more dangerous abort
	maneuvers, the Return To Launch Site (""decreased abort maneuver
	complexity"").

    5)	The new attitude improves the ability for ground-based radio
	antennae to have a good line-of-sight signal with the S-band radio
	antennae on the Orbiter (""improved S-band look angles"").

    6)	The new attitude allows the crew to see the horizon, which is a
	helpful (but not mandatory) part of piloting any flying machine.

    7)	The new attitude orients the Shuttle so that the body is
	more nearly parallel with the ground, and the nose to the east
	(usually).  This allows the thrust from the engines to add velocity
	in the correct direction to eventually achieve orbit.  Remember:
	velocity is a vector quantity made of both speed and direction.
	The Shuttle has to have a large horizontal component to its
	velocity and a very small vertical component to attain orbit.

    This all begs the question, ""Why isn't the launch pad oriented to give
    this nice attitude to begin with?  Why does the Shuttle need to roll to
    achieve that attitude?""  The answer is that the pads were leftovers
    from the Apollo days.  The Shuttle straddles two flame trenches -- one
    for the Solid Rocket Motor exhaust, one for the Space Shuttle Main
    Engine exhaust.  (You can see the effects of this on any daytime
    launch.  The SRM exhaust is dirty gray garbage, and the SSME exhaust is
    fluffy white steam.  Watch for the difference between the ""top""
    [Orbiter side] and the ""bottom"" [External Tank side] of the stack.) The
    access tower and other support and service structure are all oriented
    basically the same way they were for the Saturn V's.  (A side note: the
    Saturn V's also had a roll program.  Don't ask me why -- I'm a Shuttle
    guy.)

    I checked with a buddy in Ascent Dynamics.	He added that the ""roll
    maneuver"" is really a maneuver in all three axes: roll, pitch and yaw.
    The roll component of that maneuver is performed for the reasons
    stated.  The pitch component controls loading on the wings by keeping
    the angle of attack (q-alpha) within a tight tolerance.  The yaw
    component is used to determine the orbital inclination.  The total
    maneuver is really expressed as a ""quaternion,"" a grad-level-math
    concept for combining all three rotation matrices in one four-element
    array.


    HOW TO RECEIVE THE NASA TV CHANNEL, NASA SELECT

    NASA SELECT is broadcast by satellite. If you have access to a satellite
    dish, you can find SELECT on Satcom F2R, Transponder 13, C-Band, 72
    degrees West Longitude, Audio 6.8, Frequency 3960 MHz. F2R is stationed
    over the Atlantic, and is increasingly difficult to receive from
    California and points west. During events of special interest (e.g.
    shuttle missions), SELECT is sometimes broadcast on a second satellite
    for these viewers.

    If you can't get a satellite feed, some cable operators carry SELECT.
    It's worth asking if yours doesn't.

    The SELECT schedule is found in the NASA Headline News which is
    frequently posted to sci.space.news. Generally it carries press
    conferences, briefings by NASA officials, and live coverage of shuttle
    missions and planetary encounters. SELECT has recently begun carrying
    much more secondary material (associated with SPACELINK) when missions
    are not being covered.


    AMATEUR RADIO FREQUENCIES FOR SHUTTLE MISSIONS

    The following are believed to rebroadcast space shuttle mission audio:

	W6FXN  - Los Angeles
	K6MF   - Ames Research Center, Mountain View, California
	WA3NAN - Goddard Space Flight Center (GSFC), Greenbelt, Maryland.
	W5RRR  - Johnson Space Center (JSC), Houston, Texas
	W6VIO  - Jet Propulsion Laboratory (JPL), Pasadena, California.
	W1AW Voice Bulletins

	Station    VHF	   10m	   15m	   20m	  40m	 80m
	------	 ------  ------  ------  ------  -----	-----
	W6FXN	 145.46
	K6MF	 145.585			 7.165	3.840
	WA3NAN	 147.45  28.650  21.395  14.295  7.185	3.860
	W5RRR	 146.64  28.400  21.350  14.280  7.227	3.850
	W6VIO	 224.04		 21.340  14.270
	W6VIO	 224.04		 21.280  14.282  7.165	3.840
	W1AW		 28.590  21.390  14.290  7.290	3.990

    W5RRR transmits mission audio on 146.64, a special event station on the
    other frequencies supplying Keplerian Elements and mission information.

    W1AW also transmits on 147.555, 18.160. No mission audio but they
    transmit voice bulletins at 0245 and 0545 UTC.

    Frequencies in the 10-20m bands require USB and frequencies in the 40
    and 80m bands LSB. Use FM for the VHF frequencies.

    [This item was most recently updated courtesy of Gary Morris
    (g@telesoft.com, KK6YB, N5QWC)]


    SOLID ROCKET BOOSTER FUEL COMPOSITION

    Reference: ""Shuttle Flight Operations Manual"" Volume 8B - Solid Rocket
    Booster Systems, NASA Document JSC-12770

    Propellant Composition (percent)

    Ammonium perchlorate (oxidizer)			69.6
    Aluminum						16
    Iron Oxide (burn rate catalyst)			0.4
    Polybutadiene-acrilic acid-acrylonitrile (a rubber) 12.04
    Epoxy curing agent					1.96

    End reference

    Comment: The aluminum, rubber, and epoxy all burn with the oxidizer."
